name,id,parent,path
Trident,6176,6175,Data InDoRes/Laboratoire Paléontologie Evolution Paléoécosystèmes Paléoprimatologie (Palevoprim)/Trident
Experimental datasets,6177,6176,Data InDoRes/Laboratoire Paléontologie Evolution Paléoécosystèmes Paléoprimatologie (Palevoprim)/Trident/Experimental datasets
Others,6187,6177,Data InDoRes/Laboratoire Paléontologie Evolution Paléoécosystèmes Paléoprimatologie (Palevoprim)/Trident/Experimental datasets/Others
Sheep,6188,6177,Data InDoRes/Laboratoire Paléontologie Evolution Paléoécosystèmes Paléoprimatologie (Palevoprim)/Trident/Experimental datasets/Sheep
Pigs,6189,6177,Data InDoRes/Laboratoire Paléontologie Evolution Paléoécosystèmes Paléoprimatologie (Palevoprim)/Trident/Experimental datasets/Pigs
Modern datasets,6178,6176,Data InDoRes/Laboratoire Paléontologie Evolution Paléoécosystèmes Paléoprimatologie (Palevoprim)/Trident/Modern datasets
Ungulates,6184,6178,Data InDoRes/Laboratoire Paléontologie Evolution Paléoécosystèmes Paléoprimatologie (Palevoprim)/Trident/Modern datasets/Ungulates
Primates,6185,6178,Data InDoRes/Laboratoire Paléontologie Evolution Paléoécosystèmes Paléoprimatologie (Palevoprim)/Trident/Modern datasets/Primates
Others,6186,6178,Data InDoRes/Laboratoire Paléontologie Evolution Paléoécosystèmes Paléoprimatologie (Palevoprim)/Trident/Modern datasets/Others
Fossil datasets,6179,6176,Data InDoRes/Laboratoire Paléontologie Evolution Paléoécosystèmes Paléoprimatologie (Palevoprim)/Trident/Fossil datasets
Africa,6180,6179,Data InDoRes/Laboratoire Paléontologie Evolution Paléoécosystèmes Paléoprimatologie (Palevoprim)/Trident/Fossil datasets/Africa
Asia,6181,6179,Data InDoRes/Laboratoire Paléontologie Evolution Paléoécosystèmes Paléoprimatologie (Palevoprim)/Trident/Fossil datasets/Asia
Europe,6182,6179,Data InDoRes/Laboratoire Paléontologie Evolution Paléoécosystèmes Paléoprimatologie (Palevoprim)/Trident/Fossil datasets/Europe
Others,6183,6179,Data InDoRes/Laboratoire Paléontologie Evolution Paléoécosystèmes Paléoprimatologie (Palevoprim)/Trident/Fossil datasets/Others
Institut méditerranéen de biodiversité et d'écologie marine et continentale (IMBE),10498,dataindores,Data InDoRes/Institut méditerranéen de biodiversité et d'écologie marine et continentale (IMBE)
O3HP (Oak Observatory at OHP),17990,10498,Data InDoRes/Institut méditerranéen de biodiversité et d'écologie marine et continentale (IMBE)/O3HP (Oak Observatory at OHP)
ENTROPIE (Écologie Marine Tropicale des Océans Pacifique et Indien),18109,dataindores,Data InDoRes/ENTROPIE (Écologie Marine Tropicale des Océans Pacifique et Indien)
ESCO Lynx 2024,18120,dataindores,Data InDoRes/ESCO Lynx 2024
Station marine de Dinard,19286,dataindores,Data InDoRes/Station marine de Dinard
Projet ACaPELA,19287,19286,Data InDoRes/Station marine de Dinard/Projet ACaPELA
Columbian ground squirrel long-term research project,20268,dataindores,Data InDoRes/Columbian ground squirrel long-term research project
Golfe de St Tropez,20581,dataindores,Data InDoRes/Golfe de St Tropez
"Environnement, Ville, Société",20654,dataindores,"Data InDoRes/Environnement, Ville, Société"
Prairie dogs: John Hoogland's longterm research,21492,dataindores,Data InDoRes/Prairie dogs: John Hoogland's longterm research
Aire marine protégée de la côte agathoise,21549,dataindores,Data InDoRes/Aire marine protégée de la côte agathoise
Histoire Naturelle des Humanités Préhistoriques,21592,dataindores,Data InDoRes/Histoire Naturelle des Humanités Préhistoriques
Réserve naturelle nationale de Cerbère-Banyuls,21593,dataindores,Data InDoRes/Réserve naturelle nationale de Cerbère-Banyuls
Parc national des Calanques,22675,dataindores,Data InDoRes/Parc national des Calanques
Parc national de Port-Cros,22676,dataindores,Data InDoRes/Parc national de Port-Cros
Parc naturel marin Golfe du Lion,22694,dataindores,Data InDoRes/Parc naturel marin Golfe du Lion
Département Ecologie Physiologie Ethologie,22696,dataindores,Data InDoRes/Département Ecologie Physiologie Ethologie
Carsten Schradin,29348,22696,Data InDoRes/Département Ecologie Physiologie Ethologie/Carsten Schradin
"EGCE (Evolution, Génomes, Comportement et Ecologie)",24613,dataindores,"Data InDoRes/EGCE (Evolution, Génomes, Comportement et Ecologie)"
Projet ANR BitterTox,24755,24613,"Data InDoRes/EGCE (Evolution, Génomes, Comportement et Ecologie)/Projet ANR BitterTox"
"MIVEGEC (Maladies infectieuses et vecteurs : Ecologie, Génétique, Evolution et Contrôle",25351,dataindores,"Data InDoRes/MIVEGEC (Maladies infectieuses et vecteurs : Ecologie, Génétique, Evolution et Contrôle"
"ECONERGY #119: Long-term observatory of king penguin ecophysiology, behaviour, growth and breeding success",25506,dataindores,"Data InDoRes/ECONERGY #119: Long-term observatory of king penguin ecophysiology, behaviour, growth and breeding success"
Bush Karoo rat and striped mice long-term research project - BKR,29339,dataindores,Data InDoRes/Bush Karoo rat and striped mice long-term research project - BKR
2025 Lodge Structure Paper,29347,29339,Data InDoRes/Bush Karoo rat and striped mice long-term research project - BKR/2025 Lodge Structure Paper
Osmolality and water harshness,29460,29339,Data InDoRes/Bush Karoo rat and striped mice long-term research project - BKR/Osmolality and water harshness
