Acronyme PEPR,Acronyme projet,Acronyme unité,Type_Data,Source de l'information,Code RNSR,Type structure,Libellé structure,Sigle structure,Lien établissement,Adresse,Latitude,Longitude,Mail,Domaines scientifiques,Discipline ERC,Responsable
FairCarboN,ALAMOD,Forêts&Société,Labo,email Pierre Barre 11/07/2024,201021280S,Unité propre,Forêts et Sociétés,,CIRAD-tutelle (UPR 105),Campus international de Baillarguet-34398-Montpellier Cedex 5,43.684167,3.876801,,10-Sciences agronomiques et écologiques,"LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling","M. Plinio SIST (Directeur),
M. Valéry GOND (Directeur adjoint)"
FairCarboN,ALAMOD,iEES,Labo,email Pierre Barre 11/07/2024,200517555P,Unité mixte,Institut d'écologie et des sciences de l'environnement de Paris,iEES,"UPEC-tutelle (UMR 7618),
CNRS-tutelle (UMR 7618),
IRD-tutelle (UMR 242),
INRAE-tutelle (UMR 1392),
SORBONNE UNIV.-tutelle (UM 113),
U PARIS Cité-participant (UMR 7618)",4 Place Jussieu 75252 PARIS CEDEX 05,48.84586715698242,2.354955673217773,martine.maibeche@sorbonne-universite.fr,"3-Sciences de la terre et de l'univers, espace                                                        4-Chimie                                                                                              10-Sciences agronomiques et écologiques","LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,
LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling",
FairCarboN,ALAMOD,IFPEN,Labo,email Pierre Barre 11/07/2024,194420911C,Société privée,IFP Energies nouvelles,IFPEN,IFPEN-tutelle ( ),1-4 avenue de Bois Préau-92852-Rueil-Malmaison,48.87604141235352,2.174431800842285,,"8-Sciences pour l'ingénieur                                                                           2-Physique                                                                                            1-Mathématiques et leurs interactions                                                                 3-Sciences de la terre et de l'univers, espace                                                        4-Chimie                                                                                              7-Sciences de la société                                                                              9-Sciences et technologies de l'information et de la communication                                    ","PE8-Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods,
PE10-Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management,
PE4-Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics",M. Pierre-Franck CHEVET ()
FairCarboN,ALAMOD,Info&Sols,Labo,email Pierre Barre 11/07/2024,202324348V,Unité propre,Info&Sols,,INRAE-tutelle (UR 1508),2163 avnue de la Pomme de Pin - CS 40001 - Ardon-45075-ORLEANS cedex 2,47.828205,1.91434,,10-Sciences agronomiques et écologiques,,"M. Antonio BISPO (DIR),
M. Hocine BOURENNANE (Directeur adjoint),
M. Bertrand LAROCHE (Directeur adjoint)"
FairCarboN,ALAMOD,US_Analyses,Labo,email Pierre Barre 11/07/2024,200718232S,Unité propre,"Analyses des eaux, sols et végétaux",ANALYSES,CIRAD-tutelle (US 49),Avenue Agropolis - TA B-49 / 01-34398-Montpellier Cedex 5,43.6447235,3.8693858,christiane.sorbs@cirad.fr,10-Sciences agronomiques et écologiques,,Mme Marie TELLA (Directrice)
FairCarboN,ALAMOD,ISPA,Labo,email Pierre Barre 11/07/2024,201421781U,Unité mixte,Interaction Sol Plante Atmosphère,ISPA,"INRAE-tutelle (UMR 1391),
BORDEAUX SCIENCES AGRO-tutelle ( )",71  avenue Edouard Bourlaux CS20032-33883-Villenave D'Ornon,44.77327,-0.5442,,10-Sciences agronomiques et écologiques,"LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling","Mme Pauline DEFOSSEZ (Directrice adjointe),
M. Alain MOLLIER (Directeur)"
FairCarboN,ALAMOD,ISTeP,Labo,email Pierre Barre 11/07/2024,200918450V,Unité mixte,Institut des sciences de la Terre Paris,ISTEP,"SORBONNE UNIV.-tutelle (UMR 7193),
CNRS-tutelle (UMR 7193)",4 Place Jussieu 75252 PARIS CEDEX 05,48.84586715698242,2.354955673217773,direction-istep@upmc.fr,"3-Sciences de la terre et de l'univers, espace","PE10-Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management",
FairCarboN,ALAMOD,LG-ENS,Labo,email Pierre Barre 11/07/2024,199812866Y,Unité mixte,Laboratoire de géologie de l'Ecole Normale Supérieure,LG-ENS,"CNRS-tutelle (UMR 8538),
PSL-tutelle (UMR 8538),
ENS PARIS-tutelle (UMR 8538)",24 Rue Lhomond-75231-PARIS CEDEX 05,48.84309885224512,2.3466817288359008,vigny@geologie.ens.fr,8-Sciences pour l'ingénieur,,M. Christophe VIGNY (DIR)
FairCarboN,ALAMOD,LIF,Labo,email Pierre Barre 11/07/2024,201423823N,Unité propre,Laboratoire d'inventaire forestier,LIF,"IGN-tutelle ( ),
INRAE-participant (USC 1500)","73 avenue de Paris
94165 SAINT-MANDÉ CEDEX
France",48.845624,2.4245825,,10-Sciences agronomiques et écologiques,,
FairCarboN,ALAMOD,LISAH,Labo,email Pierre Barre 11/07/2024,197217858M,Unité mixte,Laboratoire d'étude des Interactions Sol - Agrosystème - Hydrosystème,LISAH,"Institut Agro-tutelle ( ),
IRD-tutelle (UMR 144),
INRAE-tutelle (UMR 1221),
AGROPARISTECH-tutelle ( )",2 place Viala 34060 Montpellier,43.61700439453125,3.8545618057250977,umr-lisah-direction@supagro.fr,10-Sciences agronomiques et écologiques,,"M. Jean-Stéphane BAILLY (Directeur),
M. Frédéric JACOB (Directeur adjoint)"
FairCarboN,ALAMOD,LSCE,Labo,email Pierre Barre 11/07/2024,200611689J,Unité mixte,Laboratoire des Sciences du Climat et de l'Environnement UMR 8212,LSCE,"CEA-tutelle (UMR 8212),
VERSAILLES-tutelle (UMR 8212),
U PARIS-SACLAY-participant (UMR 8212),
CNRS-tutelle (UMR 8212)","CEA Saclay, Bat 714, pièce 1034 Site de l'Orme des Merisiers Chemin de Saint Aubin - RD 128-91191-GIF SUR YVETTE CEDEX",48.712045,2.1472144,direction@lsce.ipsl.fr,"3-Sciences de la terre et de l'univers, espace",,"M. François-Marie BREON (DIR-ADJ),
M. Franck BASSINOT (Directeur adjoint),
M. Philippe BOUSQUET (Directeur),
M. Didier ROCHE (Directeur adjoint)"
FairCarboN,ALAMOD,METIS,Labo,email Pierre Barre 11/07/2024,199712664H,Unité mixte,"Milieux Environnementaux, Transferts et Interactions dans les hydrosystèmes et les Sols",METIS,"EPHE PARIS-tutelle (UMR 7619),
CNRS-tutelle (UMR 7619),
SORBONNE UNIV.-tutelle (UMR 7619),
PSL-tutelle (UMR 7619)",4 Place Jussieu 75252 PARIS CEDEX 05,48.84586715698242,2.354955673217773,metis@listes.upmc.fr,"3-Sciences de la terre et de l'univers, espace","PE10-Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management","Mme Sylvie DERENNE (DIR-ADJ),
M. Jean-Marie MOUCHEL (DIR),
M. Faycal REJIBA (DIR-ADJ)"
FairCarboN,ALAMOD,Recyclage&Risque,Labo,email Pierre Barre 11/07/2024,200718430G,Unité propre,Recyclage & Risques,Recyclage&Risque,CIRAD-tutelle (UPR 78),Avenue Agropolis-34398-Montpellier Cedex 5,43.64971458752341,3.869096786507703,dir-recyclage@cirad.fr,10-Sciences agronomiques et écologiques,"LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards","M. Tom WASSENAAR (Directeur adjoint),
M. Frédéric FEDER (Directeur)"
FairCarboN,ALAMOD,SAS,Labo,email Pierre Barre 11/07/2024,199917982E,Unité mixte,Sol  Agro et hydrosystème Spatialisation,SAS,"INRAE-tutelle (UMR 1069),
Institut Agro-tutelle ( )",65  rue de Saint-Brieuc-35042-Rennes,48.113544,-1.7053078,,10-Sciences agronomiques et écologiques,,"M. Christian WALTER (Directeur),
M. Joel AUBIN (Directeur adjoint),
Mme Virginie PARNAUDEAU (Directrice adjointe)"
FairCarboN,ALAMOD,SELMET,Labo,email Pierre Barre 11/07/2024,199419708C,Unité mixte,Systèmes d'Elevage Méditerranéens et Tropicaux,SELMET,"Institut Agro-tutelle ( ),
INRAE-tutelle (UMR 0868),
CIRAD-tutelle (UMR 112)","Campus International de Baillarguet, Avenue du Campus Agropolis, 34980 Montferrier-sur-Lez, France",43.6835992,3.8764969,dir-selmet@cirad.fr,10-Sciences agronomiques et écologiques                                                                6-Sciences humaines et humanités,"LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards","M. Guillaume DUTEURTRE (Directeur),
M. Christian CORNIAUX (Directeur adjoint)"
FairCarboN,ALAMOD,Silva,Labo,email Pierre Barre 11/07/2024,201822750E,Unité mixte,SILVA,SILVA,"LORRAINE-tutelle (UMR_A 1434),
AGROPARISTECH-tutelle ( ),
INRAE-tutelle (UMR 1434)",Centre INRAE Grand Est - rue d'Amance-54280-CHAMPENOUX,48.744439,6.348987,jean-claude.gegout@univ-lorraine.fr,"3-Sciences de la terre et de l'univers, espace                                                        10-Sciences agronomiques et écologiques                                                                5-Biologie, médecine et santé","LS1-Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling","M. Cyrille RATHGEBER (DIR-ADJ),
Mme Marie-Noëlle VAULTIER (DIR-ADJ),
M. Jean-Claude GEGOUT (DIR)"
FairCarboN,ALAMOD,TETIS,Labo,email Pierre Barre 11/07/2024,200718239Z,Unité mixte,"Territoires, Environnement, Télédétection et Information Spatiale",TETIS,"AGROPARISTECH-tutelle (UMR ),
INRAE-tutelle (UMR 1470),
CNRS-participant (UMR 9000),
CIRAD-tutelle (UMR 91)",500 rue Jean-François Breton-34000-Montpellier,43.645283782850186,3.8766872343898218,,"10-Sciences agronomiques et écologiques                                                                3-Sciences de la terre et de l'univers, espace                                                        9-Sciences et technologies de l'information et de la communication","SH3-The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies","M. Pierre MAUREL (Directeur),
M. Eric BARBE (Directeur adjoint),
M. Pierre-Yves VION (Directeur adjoint),
M. Laurent GAZULL (Directeur adjoint)"
FairCarboN,ALAMOD,UEAV,Labo,email Pierre Barre 11/07/2024,198817750A,Unité propre,Unité d'Expérimentation Agronomique et Viticole de Colmar,UEAV,INRAE-tutelle (UE 0871),28  rue de Herrlisheim-68000-COLMAR,48.0638894,7.334692,,10-Sciences agronomiques et écologiques,,"M. Lionel LEY (Directeur adjoint),
Mme Violaine DEYTIEUX (Directrice)"
FairCarboN,ALAMOD,UEFP,Labo,email Pierre Barre 11/07/2024,198221644J,Unité propre,Unité Expérimentale Forêt Pierroton,UEFP,INRAE-tutelle (UE 0570),Domaine de l'Hermitage - 69 route d'Arcachon-33610-CESTAS,44.736162,-0.773948,,10-Sciences agronomiques et écologiques,,"Mme Alexia MATHOU (Directrice adjointe),
M. Frédéric BERNIER (Directeur)"
FairCarboN,ALAMOD,UREP,Labo,email Pierre Barre 11/07/2024,201722611H,Unité mixte,Unité Mixte de Recherche sur l'Ecosystème Prairial,UREP,"INRAE-tutelle (UMR 0874),
VETAGRO SUP-tutelle ( )",5 chemin de Beaulieu-63000-CLERMONT-FERRAND,45.7696647644043,3.1467630863189697,,10-Sciences agronomiques et écologiques,,"Mme Catherine PICON-COCHARD (Directrice),
Mme Juliette BLOOR (Directrice adjointe)"
FairCarboN,ALAMOD,URFM,Labo,email Pierre Barre 11/07/2024,196817912N,Unité propre,Ecologie des Forêts Méditerranéennes,URFM,INRAE-tutelle (UR 0629),228  route de l'Aérodrome CS40509-84914-Avignon,43.917101,4.883472,,10-Sciences agronomiques et écologiques,,"M. Jean-Luc DUPUY (Directeur),
Mme Caroline SCOTTI-SAINTAGNE (Directrice adjointe)"
FairCarboN,CABESTAN,AD2M,Labo,email Bourdin Simon ANR 12/06/2024,200512529B,Unité mixte,Adaptation et diversité en milieu marin,AD2M,"SORBONNE UNIV.-tutelle (UMR 7144),
CNRS-tutelle (UMR 7144)",Place Georges Teissier - CS90074-29688-ROSCOFF CEDEX,48.7269243,-3.9876728,direction.umr7144@sb-roscoff.fr,,"LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards",Mme Laure GUILLOU (Directeur)
FairCarboN,CABESTAN,EPOC,Labo,email Bourdin Simon ANR 12/06/2024,199512085M,Unité mixte,Environnements et paléoenvironnements océaniques et continentaux,EPOC,"Bordeaux INP-tutelle ( ),
CNRS-tutelle (UMR 5805),
BORDEAUX-tutelle (UMR 5805),
EPHE PARIS-participant (UMR 5805),
PSL-participant (UMR 5805)",Allée Geoffroy Saint Hilaire-33615-PESSAC CEDEX,44.804218,-0.607487,s.fernandez@epoc.u-bordeaux1.fr,"5-Biologie, médecine et santé                                                                         2-Physique                                                                                            4-Chimie",,"M. Aldo SOTTOLICHIO (Directeur adjoint),
M. Philippe MARTINEZ (Directeur adjoint),
M. Patrice GONZALEZ (Directeur adjoint),
Mme Hélène BUDZINSKI (Directrice)"
FairCarboN,CABESTAN,LEMAR,Labo,email Bourdin Simon ANR 12/06/2024,200816948S,Unité mixte,Laboratoire des sciences de l'environnement marin,LEMAR,"CNRS-tutelle (UMR 6539),
IRD-tutelle (UMR 6539),
BREST-tutelle (UMR 6539),
IFREMER-tutelle (UMR 6539)",Rue Dumont d’Urville-29280-PLOUZANE,48.3586373,-4.5622787,dir-umr6539@univ-brest.fr,"5-Biologie, médecine et santé                                                                         10-Sciences agronomiques et écologiques                                                                3-Sciences de la terre et de l'univers, espace","PE10-Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management,
SH3-The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies,
LS2-Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine,
LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling",Mme Géraldine SARTHOU (Directrice)
FairCarboN,CABESTAN,LETG,Labo,email Bourdin Simon ANR 12/06/2024,199612340K,Unité mixte,"LITTORAL, ENVIRONNEMENT, TELEDETECTION, GEOMATIQUE",LETG,"BREST-tutelle (UMR 6554),
PSL-tutelle ( ),
RENNES 2-tutelle (UMR 6554),
CNRS-tutelle (UMR 6554),
Nantes Université-tutelle (UMR 6554)",Nantes université Campus Tertre BP 81227-44312-Nantes cedex 3,47.2499554,-1.5536813,brice.trouillet@univ-nantes.fr et adeline.maulpoix@univ-brest.fr,"3-Sciences de la terre et de l'univers, espace                                                        10-Sciences agronomiques et écologiques                                                                7-Sciences de la société                                                                              6-Sciences humaines et humanités","SH7-Human Mobility, Environment, and Space : Human geography, demography, health, sustainability science, territorial planning, spatial analysis,
PE10-Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management","M. Mohamed MAANAN (Directeur adjoint),
M. Thomas CORPETTI (Directeur - adjoint),
M. Cyril TISSOT (Directeur-adjoint),
M. Brice TROUILLET (Directeur)"
FairCarboN,CABESTAN,LMD,Labo,email Bourdin Simon ANR 12/06/2024,199812867Z,Unité mixte,Laboratoire de météorologie dynamique,LMD,"EC. POLYTECHNIQUE-tutelle (UMR 8539),
CNRS-tutelle (UMR 8539),
SORBONNE UNIV.-tutelle (UMR 8539),
PSL-tutelle (UMR 8539),
ENPC PARIS-participant (UMR 8539),
IP PARIS-tutelle ( ),
ENS PARIS-tutelle (UMR 8539)",route de Saclay-91128-PALAISEAU CEDEX,48.7195536,2.2210765,lmddir@lmd.polytechnique.fr,8-Sciences pour l'ingénieur,,"M. Fabio D'ANDREA (DIR-ADJ),
M. Riwal PLOUGONVEN (DIR-ADJ),
M. Philippe DROBINSKI (Directeur)"
FairCarboN,CABESTAN,LOG,Labo,email Bourdin Simon ANR 12/06/2024,200812834V,Unité mixte,UMR 8187 - LOG - Laboratoire d'océanologie et de géosciences,,"LILLE-tutelle (UMR 8187),
LITTORAL-tutelle (UMR 8187),
IRD-participant ( ),
CNRS-tutelle (UMR 8187)",28 avenue Foch-62930-WIMEREUX,50.7628744,1.605767,lucdivine.bonnamy@univ-lille.fr,"10-Sciences agronomiques et écologiques                                                                3-Sciences de la terre et de l'univers, espace","SH3-The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies,
LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling,
PE10-Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management",
FairCarboN,CABESTAN,LPG,Labo,email Bourdin Simon ANR 12/06/2024,200012185Z,Unité mixte,LABORATOIRE DE PLANETOLOGIE ET GEOSCIENCES,LPG,"ANGERS-tutelle (UMR 6112),
Nantes Université-tutelle (UMR 6112),
CNRS-tutelle (UMR 6112),
CNES-participant (UMR 6112),
LE MANS-tutelle (UMR 6112)",2 Rue de la Houssinière-44322-NANTES CEDEX 3,47.2385635,-1.5553325,dir.umr6112@univ-nantes.fr,"3-Sciences de la terre et de l'univers, espace",,"M. Alain ZANELLA (dir-adj Le Mans Univ),
M. GAEL CHOBLET (),
M. Edouard METZGER (Directeur-adjoint),
M. Benoit LANGLAIS (Directeur)"
FairCarboN,CABESTAN,LUSAC,Labo,email Bourdin Simon ANR 12/06/2024,200815490G,Unité propre,LABORATOIRE UNIVERSITAIRE DES SCIENCES APPLIQUEES DE CHERBOURG,LUSAC,CAEN-tutelle (UR 4253),LUSAC - ESIX Normandie Prod.Rue Louis Aragon78-50130-CHERBOURG OCTEVILLE,49.634357,-1.6441993,sylvain.guillou@unicaen.fr,8-Sciences pour l'ingénieur                                                                           4-Chimie                                                                                              9-Sciences et technologies de l'information et de la communication                                    ,"PE7-Systems and communication engineering : Electrical, electronic, communication, optical and systems engineering,
PE8-Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods,
PE10-Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management",
