,Dataverses_niv2,Ids_niv2
10,"['CENSE', 'Battery data', 'ACIMP - Asphalt pavement laboratory slabs', 'Experimental abdominal data', 'TerDOUEST', 'SUBDENSE', 'DéCoF-Ré', 'Optical Fibers embedded in cementitious materials for UltraSonic imaging and monitoring', 'City-FAB', 'SCaNING - Suivi des infrastructures neuves et existantes par Capteurs Noyés pour évaluer les Indicateurs Nécessaires à leur Gestion durable']","[158390, 163209, 174195, 186455, 195602, 198298, 202059, 344891, 599618, 606543]"
11,"['CERMICS', 'HM&Co', 'Laboratoire Navier', 'CEREA']","[158623, 158624, 158626, 158857]"
12,[],[]
13,['MIMESIS'],[167534]
14,"['URSûr 201722597T', 'UREnv 201722596S', 'URSan 201722594P']","[221935, 221946, 221947]"
15,"['Collection Générique Inserm', 'Biologie cellulaire, développement et évolution', 'Génétique, génomique et bioinformatique', 'Bases moléculaires et structurales du vivant', 'Cancer', 'Technologies pour la santé', 'Santé publique', 'Physiopathologie, métabolisme, nutrition', 'Neurosciences, sciences cognitives, neurologie, psychiatrie', 'Immunologie, inflammation, infectiologie et microbiologie']","[152449, 152451, 152453, 152460, 152461, 152462, 152463, 152464, 152465, 152466]"
16,"['AGAP Institut', 'AMAP', 'CEFE', 'EuroMov DHM', 'HSM', 'IATE', 'ISEM', 'L2C', 'LIRMM', 'LMGC', 'MARBEC', 'MIVEGEC', 'OREME', 'SPO', 'IES', 'IGF', 'PhyMedExp']","[339776, 339782, 339786, 339798, 339802, 339805, 339812, 339818, 339821, 339825, 339827, 339830, 339834, 339840, 344892, 344893, 600726]"
17,[],[]
18,['Données associées aux mémoires de master de Sorbonne Université'],[179083]
19,[],[]
20,"['JUstice In Climate Change Exposure (JUICCE)', 'Acompañamiento para la Gobernanza Adaptiva de la Tierra en Apurímac (AGATA)', 'Chaire CoPack']","[171135, 172581, 188811]"
21,[],[]
22,['UCCS'],[176254]
23,[],[]
24,['Space Weather Events'],[568624]
25,[],[]
26,"['UMR CNRS 6226 - Institut des sciences chimiques de Rennes (ISCR)', 'UMR 6118 - Géosiences Rennes', 'UMR INRAE 1349 - Institut de génétique, environnement et protection des plantes (IGEPP)', 'UMR INSERM 1241 / UMR INRAE 1341 - Nutrition, Métabolismes et Cancer (NuMeCan)', 'UMR 6553 - Ecobio - Ecosystèmes, Biodiversité, Evolution', 'IRMAR - UMR CNRS 6625 - Institut de recherche mathématique de Rennes']","[163908, 163915, 163927, 163928, 178981, 347525]"
27,"['BETA', 'ICMCB', 'Dat@OSUC', 'dataLNCMI', 'IDEES', 'French Fluid Dynamics Database', 'MEDG', 'Data Robotics : French Research Infrastructure Robotex2.0', 'LOCIE', 'PHENIX', 'CASP16-CAPRI MassiveFold Data', 'LJP']","[161262, 167583, 175564, 178605, 191897, 193082, 209188, 348857, 438903, 575235, 607303, 609307]"
28,[],[]
29,"['Laboratoire Géoazur', ""Laboratoire D'informatique Signaux et Systèmes de Sophia-Antipolis"", 'Institut Sophia Agrobiotech']","[174190, 174193, 174197]"
30,"['Telecom', 'Transport Aérien - TA', 'II - Informatique Interactive', 'OPTIM']","[197003, 197004, 222042, 284520]"
31,"['AGE', 'LER']","[616600, 616618]"
32,"['ERC Promises', ""Observatoire des Sciences de l'Univers Nantes Atlantique (Osuna)"", 'Laboratoire MIP', 'ANR-DEMCOM - Durable and Environmental design of Monitored COncrete structures in Marine environment', 'Laboratoire de Planétologie et Géosciences (LPG)', 'Laboratoire IREENA - Institut de Recherche en Energie Electrique de Nantes Atlantique ', 'Laboratoire CEISAM - Chimie et Interdisciplinarité : Synthèse, Analyse, Modélisation', 'ERC IceFloods', 'Laboratoire LETG - Littoral - Environnement - Télédetection - Géomatique (UMR CNRS 6554)']","[174253, 174520, 176077, 179212, 201219, 596554, 599378, 600524, 603040]"
33,"['Agro&Sciences', 'Culture Patrimoines Sociétés Numériques']","[174660, 178272]"
34,"['URCOM - Unité de Recherche en Chimie Organique et Macromoléculaire ', 'GREAH - Groupe de Recherche en Electrotechnique et Automatique du Havre', 'LMAH - Laboratoire de Mathématiques Appliquées du Havre ', 'LITIS - Laboratoire d’Informatique et du Traitement de l’Information et des Systèmes', 'LOMC - Laboratoire Ondes et Milieux Complexes', 'SEBIO - Stress Environnementaux et BIOsurveillance des milieux aquatiques']","[175285, 176149, 176167, 179064, 179065, 179066]"
35,"['IMFT', 'LGC']","[172874, 174376]"
36,"['TIRAMISU', 'Institut Pascal', 'UMR 1095 GDEC ', 'Unité de Nutrition Humaine - UNH - UMR 1019', 'iGReD Génétique, Reproduction et Développement']","[197313, 201555, 208982, 598564, 631112]"
37,"['GRAPPE', 'URSE', 'LEVA', 'LARESS', 'BAGAP-ESA']","[191947, 192360, 192364, 192366, 192368]"
38,"['BSB', 'Université Marie et Louis Pasteur', 'Université Bourgogne Europe', 'Université de Technologie de Belfort Montbéliard', 'SUPMICROTECH-ENSMM', 'Institut Agro Dijon', 'Arts et Métiers Campus de Cluny']","[168827, 175567, 175568, 175569, 175572, 175573, 183125]"
39,"['CIML', 'Institut Fresnel', 'Luminy Génétique et biophysique des plantes (LGBP-AMU-CEA-CNRS)', 'Theories and Approaches of Genomic Complexity (TAGC)']","[221986, 601040, 627611, 627612]"
40,"[""CREOP - Centre de Recherche sur l'Entreprise, les Organisations et le Patrimoine"", ""LAPE - Laboratoire d'Analyse et de Prospectives Economiques"", 'OMIJ - Observatoire des mutations institutionnelles et juridiques', 'GEOLAB', 'CeReS', 'CRIHAM', 'EHIC', 'FrED', 'GRESCO', 'CRIBL', 'EpiMaCT', 'P&T', 'RESINFIT', 'CAPTuR', 'HAVAE', 'LABCiS', 'NEURIT', 'VieSanté', 'IRCER', 'GC2D', 'E2Lim', 'XLIM']","[192324, 192325, 192365, 192367, 192369, 192370, 192372, 192373, 192375, 192376, 192377, 192378, 192379, 192380, 192382, 192385, 192386, 192387, 192388, 192389, 192390, 192391]"
41,[],[]
42,"[""LAMIH - Laboratoire d'Automatique, de Mécanique et d'Informatique Industrielles et Humaines"", 'LARSH - Laboratoire de Recherche Sociétés & Humanités', 'IEMN']","[185829, 185839, 569299]"
43,"['Institut de Recherche en Informatique de Toulouse (IRIT)', 'Institut de Pharmacologie et Biologie Structurale (IPBS)', 'Institut des Maladies Métaboliques et Cardiovasculaires (I2MC)', ""Centre d'Etudes Spatiales de la Biosphère (CESBIO)"", ""Centre Interuniversitaire de Recherche et d'Ingénierie des Matériaux (CIRIMAT)"", ""Centre de Recherche sur la Biodiversité et l'Environnement (CRBE)"", 'Géosciences Environnement Toulouse (GET)']","[201880, 284981, 285008, 285011, 285062, 285065, 285066]"
44,[],[]
45,"['Laboratoire « Sciences pour l’Environnement » (UMR CNRS 6134 SPE)', 'Laboratoire « Lieux, Identités, eSpaces, Activités » (UMR CNRS 6240 LISA)', 'Equipe Méditerranéenne de Recherche Juridique EMRJ (UR 7311)', 'BioScope Corse Méditerranée Dynamique des Infections en Milieu Insulaire (UR 7310)', 'Plateforme PAGLIA ORBA', 'Plateforme « Médiathèque Culturelle de la Corse et des Corses » (M3C)', 'Plateforme LOCUS', 'Laboratoire « Stella Mare » (UAR CNRS 3514)', 'Fédération de Recherche « Environnement et Société » (FR CNRS 3041)', ""Institut d'Etudes Scientifiques de Cargèse (UAR CNRS 820)""]","[398084, 398085, 398087, 398088, 398089, 398090, 398091, 398092, 398093, 398094]"
46,[],[]
47,"['transitions éducation', 'transitions territoires', 'transitions agro écologiques']","[187783, 187784, 187786]"
48,"['Recherche Data Observatoire de Paris - PSL', 'Recherche Data MINES Paris - PSL', 'Recherche Data ESPCI Paris - PSL', 'Recherche Data ENC - PSL', 'Recherche Data Dauphine - PSL', 'Recherche Data Chimie ParisTech - PSL']","[214706, 214707, 214708, 214713, 214714, 214716]"
49,"['UMR LMFA', 'UMR LTDS', 'UMR LIRIS', 'UMR INL', 'UMR ICJ', 'UMR AMPERE']","[347777, 347778, 347779, 347780, 347781, 347782]"
50,[],[]
51,"['ARTDEV | Acteurs, Ressources et Territoires Dans le Développement', 'ASM | Archéologie des Sociétés Méditerranéennes', ""CEFE | Centre d'Écologie Fonctionnelle et Évolutive"", ""CEMM | Centre d'Études Médiévales de Montpellier"", 'CORHIS | Communication, Ressources Humaines & Intervention Sociale', ""CREG | Centre de Recherches et d'Etudes Germaniques"", 'CRISES | Centre de Recherches Interdisciplinaires en Sciences humaines et Sociales de Montpellier', ""DIPRALANG | Laboratoire de Sociolinguistique, d'Anthropologie des Pratiques Langagières et de Didactique des Langues-Cultures"", 'EMMA | Etudes Montpelliéraines du Monde Anglophone', 'EPSYLON | Dynamique des Capacités Humaines et des Conduites de Santé', ""IRCL | Institut de recherches sur la Renaissance, l'âge Classique et les Lumières"", 'IRIEC | Institut de Recherche Intersite en Études Culturelles', ""LAGAM | Laboratoire de Géographie et d'Aménagement de Montpellier"", ""LERASS-CERIC | Cercle d'Etude et de Recherche en Information-Communication"", 'LHUMAIN | Langages HUmanités Médiations Apprentissages Interactions Numérique', ""LEIRIS | Laboratoire d'Études Interdisciplinaires sur le Réel et les Imaginaires Sociaux"", 'PRAXILING', 'LIRDEF | Laboratoire Interdisciplinaire de Recherche en Didactique, Éducation et Formation', 'ReSO | Recherches sur les Suds et les Orients', 'RIRRA 21 | Représenter, Inventer la Réalité, du Romantisme au XXIe siècle', 'SENS | Savoirs, ENvironnement, Sociétés']","[218608, 218609, 218610, 218611, 218612, 218613, 218614, 218615, 218616, 218617, 218618, 218619, 218620, 218621, 218624, 218625, 218626, 218627, 218629, 218630, 218631]"
52,[],[]
53,"['IMT Nord Europe', 'IMT Mines Alès', 'IMT Mines Albi', 'IMT Atlantique', 'Mines Saint-Etienne', 'IMT-BS', 'Télécom Paris', 'Telecom SudParis']","[209404, 601077, 601078, 601079, 601080, 601081, 602049, 602050]"
54,[],[]
55,"[' Collection ELICO-ENSSIB', ' Collection Centre Gabriel Naudé', ""Collection Travaux scientifiques de l'Enssib""]","[328796, 328859, 339585]"
56,[],[]
57,['TSE Food economics data'],[557082]
58,[],[]
59,['Rotor noise'],[628173]
60,"['Centre de recherche sur les économies, les sociétés, les arts et les techniques (CRESAT)', 'Laboratoire de Physique et Mécanique Textiles (LPMT)']","[610405, 631964]"
61,[],[]
62,"['AVENUES - Modélisation multi-échelle des systèmes urbains', 'BMBI - Biomécanique et Bioingénierie', 'COSTECH -  Connaissance Organisation et Systèmes TECHniques', 'GEC - Génie enzymatique et cellulaire', 'HEUDIASYC - Heuristique et diagnostic des systèmes complexes', 'LMAC - Laboratoire de mathématiques appliquées de Compiègne', 'ROBERVAL - Mécanique, énergie et électricité', 'TIMR - Transformations intégrées de la matière renouvelable']","[607333, 607334, 607335, 607336, 607337, 607340, 607341, 607347]"
