name,global_id,entrepot,parent,Date_Création,Date_Update,Mots_clés,Sujet,Auteurs,Publication,PersistentUrl
R package alm : Automated Landscape Mapping,doi:10.15454/AKQW7Y,Data INRAE,inrae://10.15454/AKQW7Y,2020-10-30T17:12:18Z,2023-05-11T14:23:51Z,,"['Earth and Environmental Sciences', 'Other', 'Agricultural Sciences']","['Allart, Roland', 'Ricci, Benoît', 'Poggi, Sylvain']",,https://doi.org/10.15454/AKQW7Y
AgriMultiPol Cholortalonil 2018,doi:10.15454/QS6ROA,Data INRAE,inrae://10.15454/QS6ROA,2021-02-13T10:48:25Z,2025-01-08T10:04:10Z,,"['Chemistry', 'Other', 'Agricultural Sciences']","['Loubet, Benjamin']",,https://doi.org/10.15454/QS6ROA
Adaptation of Lactobacillus Bulgaricus CIRM-BIA1592 to cow milk versus soymilk environments,doi:10.15454/SEZG3P,Omics,inrae://10.15454/SEZG3P,2021-07-12T10:22:06Z,2022-04-25T07:28:17Z,['Proteomics'],"['Medicine, Health and Life Sciences']","['Jardin, Julien', 'Briard-Bion, Valérie']",,https://doi.org/10.15454/SEZG3P
"Replication data for the article: ""Biological control at work: demonstrating the complementary effects of natural enemies on two contrasting pests and the damage they cause""",doi:10.15454/IOBLWS,Data INRAE,inrae://10.15454/IOBLWS,2021-08-09T16:12:39Z,2021-08-24T07:00:24Z,,['Agricultural Sciences'],"['Mesmin, Xavier', 'Maret, Marion', 'Vincent, Marie', 'Daniel, Loïc', 'Gardin, Pauline', 'Raitif, Julien', 'Faloya, Vincent', 'Cortesero, Anne-Marie', 'Le Ralec, Anne']",,https://doi.org/10.15454/IOBLWS
Réservoir utile des sols de la France métropolitaine,doi:10.15454/9IRARJ,Info&sols Dataverse,inrae://10.15454/9IRARJ,2021-09-27T14:53:09Z,2022-05-20T15:43:05Z,"['réserve en eau utile', 'cartographie numérique des sols', 'fonction de pédotransfert', 'teneur en eau', 'sol', 'capacité au champ', 'point de flétrissement']","['Earth and Environmental Sciences', 'Agricultural Sciences']","['Roman Dobarco, Mercedes', 'Bourennane, Hocine', 'Arrouays, Dominique', 'Saby, Nicolas', 'Cousin, Isabelle', 'Martin, Manuel P.']",,https://doi.org/10.15454/9IRARJ
Cecal microbiota composition in response to chronic intake of glucose or fructose beverage,doi:10.15454/3LBOIS,Omics,inrae://10.15454/3LBOIS,2021-11-08T09:16:59Z,2024-12-11T10:54:39Z,,"['Medicine, Health and Life Sciences']","['Douard, Veronique']",,https://doi.org/10.15454/3LBOIS
Données de l'étude rétrospective et prospective sur l’évolution du coût des APC pour les institutions françaises,doi:10.57745/AQ0OPT,Espace Générique,espace-generique://10.57745/AQ0OPT,2022-07-14T15:41:14Z,2023-01-04T16:09:25Z,"['bibliometrics', 'scientific and technical information']",['Other'],"['Thierry, Diane', 'van der Graaf, Maurits']","['BSO (Baromètre de la science ouverte)', 'Web of science', 'OpenAlex', 'Consortium Couperin', 'QOAM (Quality of Open Access Marker)']",https://doi.org/10.57745/AQ0OPT
Données de réplication pour : Trait-environment associations diverge between native and alien breeding bird assemblages on the world's oceanic islands.,doi:10.57745/1BRHFC,Espace Générique,espace-generique://10.57745/1BRHFC,2023-07-03T13:00:42Z,2023-07-07T13:57:27Z,"['Aves', 'biogeography', 'island', 'functional ecology']","['Earth and Environmental Sciences', 'Other']","['RAULT, Charlotte', 'LEPRIEUR, Fabien', 'BARBARO, Luc', 'KREFT, Holger', 'MOUQUET, Nicolas', 'PAPAIX, Julien', 'SEKERCIOGLU, CAGAN', 'VIOLLE, Cyrille', 'BARNAGAUD, Jean-Yves']","['BirdLife International <br> <a href=""http://datazone.birdlife.org/home"" rel=""nofollow"" target=""_blank"">http://datazone.birdlife.org/home</a>', '<br>Çağan Hakkı Şekercioğlu<br> <a href=""https://faculty.utah.edu/u0698676-CAGAN_H_SEKERCIOGLU/hm/index.hml"" rel=""nofollow"" target=""_blank"">https://faculty.utah.edu/u0698676-CAGAN_H_SEKERCIOGLU/hm/index.hml</a>', '<br>Appendix 4 - Weigelt, P., Jetz, W. &amp; Kreft, H. (2013) Bioclimatic and physical characterization of the world’s islands. Proceedings of the National Academy of Sciences, 201306309.<br> <a href=""https://www.pnas.org/doi/10.1073/pnas.1306309110"" rel=""nofollow"" target=""_blank"">https://www.pnas.org/doi/10.1073/pnas.1306309110</a>', '<br>Socioeconomic Data and Applications Center (sedac)<br> <a href=""https://doi.org/10.7927/H40Z715X"" rel=""nofollow"" target=""_blank"">https://doi.org/10.7927/H40Z715X</a>', '<br>Socioeconomic Data and Applications Center (sedac)<br> <a href=""https://doi.org/10.7927/edbc-3z60"" rel=""nofollow"" target=""_blank"">https://doi.org/10.7927/edbc-3z60</a>']",https://doi.org/10.57745/1BRHFC
TreeTrace_spruce,doi:10.57745/WKLTJI,UMR Silva,inrae://10.57745/WKLTJI,2022-06-02T13:26:23Z,2023-01-24T09:01:03Z,"['Image analysis', 'RGB images', 'Computed tomography', 'Wood density', 'Growth ring width', 'Wood quality', 'Traceability']","['Computer and Information Science', 'Agricultural Sciences']","['Longuetaud, Fleur', 'Schraml, Rudolf', 'Mothe, Frédéric', 'Ravoajanahary, Tojo', 'Decelle, Rémi', 'Constant. Thiéry', 'Ngo, Phuc', 'Debled-Rennesson, Isabelle', 'Entacher, Karl', 'Brüchert, Franka', 'Uhl, Andreas']",,https://doi.org/10.57745/WKLTJI
Data for Phaeoexplorer publication: Evolutionary genomics of the emergence of brown algae as key components of coastal ecosystems,doi:10.57745/9U1J85,CNRS Research Data,cnrs://10.57745/9U1J85,2024-04-18T15:51:15Z,2024-11-12T12:13:54Z,"['flagella', 'genomics', 'brown algae', 'CAZymes', 'Ectocarpus', 'halogen metabolism', 'intertidal', 'multicellularity', 'Phaeophyceae', 'Phaeovirus', 'stramenopile', 'subtidal', 'viral genome insertions', 'viral genome integration into host DNA']","['Medicine, Health and Life Sciences']","['Godfroy, Olivier', 'Denoeud, France', 'Cruaud, Corinne', 'Heesch, Svenja', 'Nehr, Zofia', 'Tadrent, Nachida', 'Couloux, Arnaud', 'Brillet-Guéguen, Loraine', 'Delage, Ludovic', 'Mckeown, Dean', 'Motomura, Taizo', 'Sussfeld, Duncan', 'Fan, Xiao', 'Mazéas, Lisa', 'Terrapon, Nicolas', 'Barrera-Redondo, Josué', 'Petroll, Romy', 'Reynes, Lauric', 'Choi, Seok-Wan', 'Jo, Jihoon', 'Uthanumallian, Kavitha', 'Bogaert, Kenny', 'Duc, Céline', 'Ratchinski, Pélagie', 'Lipinska, Agnieszka', 'Noel, Benjamin', 'Murphy, Eleanor A.', 'Lohr, Martin', 'Khatei, Ananya', 'Hamon-Giraud, Pauline', 'Vieira, Christophe', 'Akerfors, Svea Sanja', 'Akita, Shingo', 'Avia, Komlan', 'Badis, Yacine', 'Barbeyron, Tristan', 'Belcour, Arnaud', 'Berrabah, Wahiba', 'Blanquart, Samuel', 'Bouguerba-Collin, Ahlem', 'Bringloe, Trevor', 'Cattolico, Rose Ann', 'Cormier, Alexandre', 'Cruz de Carvalho, Helena', 'Dallet, Romain', 'De Clerck, Olivier', 'Debit, Ahmed', 'Denis, Erwan', 'Destombe, Christophe', 'Dinatale, Erica', 'Dittami, Simon', 'Drula, Elodie', 'Faugeron, Sylvain', 'Got, Jeanne', 'Graf, Louis', 'Groisillier, Agnès', 'Guillemin, Marie-Laure', 'Harms, Lars', 'Hatchett, William John', 'Henrissat, Bernard', 'Hoarau, Galice', 'Jollivet, Chloé', 'Jueterbock, Alexander', 'Kayal, Ehsan', 'Kogame, Kazuhiro', 'Le Bars, Arthur', 'Leblanc, Catherine', 'Ley, Ronja', 'Liu, Xi', 'Lopez, Pascal Jean', 'Lopez, Philippe', 'Manirakiza, Eric', 'Massau, Karine', 'Mauger, Stéphane', 'Mest, Laetitia', 'Michel, Gurvan', 'Monteiro, Catia', 'Nagasato, Chikako', 'Nègre, Delphine', 'Pelletier, Eric', 'Phillips, Naomi', 'Potin, Philippe', 'Rensing, Stefan A.', 'Rousselot, Ellyn', 'Rousvoal, Sylvie', 'Schroeder, Declan', 'Scornet, Delphine', 'Siegel, Anne', 'Tirichine, Leila', 'Tonon, Thierry', 'Valentin, Klaus', 'Verbruggen, Heroen', 'Weinberger, Florian', 'Wheeler, Glen', 'Kawai, Hiroshi', 'Peters, Akira F.', 'Yoon, Hwan Su', 'Hervé, Cécile', 'Ye, Naihao', 'Bapteste, Eric', 'Valero, Myriam', 'Markov, Gabriel V.', 'Corre, Erwan', 'Coelho, Susana M.', 'Wincker, Patrick', 'Aury, Jean-Marc', 'Cock, J. Mark']",,https://doi.org/10.57745/9U1J85
Leaf firing symptoms and their genetic analysis in a grapevine diversity panel suddenly exposed to a record heatwave,doi:10.57745/PW2UHA,Data INRAE,inrae://10.57745/PW2UHA,2024-01-08T21:43:11Z,2024-02-08T20:52:55Z,"['Vitis vinifera', 'heatwave', 'leaf firing', 'burn', 'diversity panel', 'GWAS']",['Agricultural Sciences'],"['Coupel-Ledru, Aude', 'Westgeest, Adrianus J.', 'Albasha, Rami', 'Millan, Mathilde', 'Pallas, Benoît', 'Doligez, Agnès', 'Flutre, Timothée', 'Segura, Vincent', 'This, Patrice', 'Torregrosa, Laurent', 'Simonneau, Thierry', 'Pantin, Florent']",,https://doi.org/10.57745/PW2UHA
"Replication data for: ""Application of the Lattice-Boltzmann method to wetting on anisotropic textured surfaces: Characterization of the liquid-solid interface""",doi:10.57745/MGHJVN,UMR LTDS,ec-lyon://10.57745/MGHJVN,2024-10-10T07:59:45Z,2025-02-24T14:33:38Z,"['Wettability', 'Simulation program', 'Texture analysis', 'Textured surfaces', 'Lattice Boltzmann method', 'Simulations', 'Experiment']",['Physics'],"['Epalle, Alexandre', 'Valette, Stephane', 'Cobian, Manuel', 'Catherin, Mathilde']",,https://doi.org/10.57745/MGHJVN
Flow intermittence indicators from the reconstruction simulations (1960-2021) in the Albarine DRN (France),doi:10.57745/NAHT7K,DRYvER-WP1 Hydrological modelling catchment scale Europe,inrae://10.57745/NAHT7K,2025-02-14T16:58:52Z,2025-04-01T17:30:11Z,['hydrological intermittence'],['Earth and Environmental Sciences'],"['Mimeau, Louise', 'Künne, Annika', 'Devers, Alexandre', 'Branger, Flora', 'Kralisch, Sven', 'Vidal, Jean-Philippe']",,https://doi.org/10.57745/NAHT7K
NIRs,doi:10.57745/EALPXM,Data INRAE,inrae://10.57745/EALPXM,2025-01-21T09:10:54Z,2025-04-11T07:00:20Z,,['Agricultural Sciences'],"['Bouchet, Sophie']",,https://doi.org/10.57745/EALPXM
Flow intermittence indicators from the reconstruction simulations (1960-2021) in the Bükkösdi DRN (Hungary),doi:10.57745/13Q77Z,DRYvER-WP1 Hydrological modelling catchment scale Europe,inrae://10.57745/13Q77Z,2025-02-14T17:03:47Z,2025-04-01T17:30:18Z,['hydrological intermittence'],['Earth and Environmental Sciences'],"['Mimeau, Louise', 'Künne, Annika', 'Devers, Alexandre', 'Branger, Flora', 'Kralisch, Sven', 'Vidal, Jean-Philippe']",,https://doi.org/10.57745/13Q77Z
Flow intermittence indicators from the reconstruction simulations (1960-2021) in the Butiznica DRN (Croatia),doi:10.57745/ZYZAEV,DRYvER-WP1 Hydrological modelling catchment scale Europe,inrae://10.57745/ZYZAEV,2025-02-14T17:06:45Z,2025-04-01T17:30:20Z,['hydrological intermittence'],['Earth and Environmental Sciences'],"['Mimeau, Louise', 'Künne, Annika', 'Devers, Alexandre', 'Branger, Flora', 'Kralisch, Sven', 'Vidal, Jean-Philippe']",,https://doi.org/10.57745/ZYZAEV
Flow intermittence indicators from the reconstruction simulations (1960-2021) in the Genal DRN (Spain),doi:10.57745/9RP7MU,DRYvER-WP1 Hydrological modelling catchment scale Europe,inrae://10.57745/9RP7MU,2025-02-14T17:09:49Z,2025-04-01T17:30:22Z,['hydrological intermittence'],['Earth and Environmental Sciences'],"['Mimeau, Louise', 'Künne, Annika', 'Devers, Alexandre', 'Branger, Flora', 'Kralisch, Sven', 'Vidal, Jean-Philippe']",,https://doi.org/10.57745/9RP7MU
Flow intermittence indicators from the reconstruction simulations (1960-2021) in the Lepsämänjoki DRN (Finland),doi:10.57745/XGDGRR,DRYvER-WP1 Hydrological modelling catchment scale Europe,inrae://10.57745/XGDGRR,2025-02-14T17:13:46Z,2025-04-01T17:30:24Z,['hydrological intermittence'],['Earth and Environmental Sciences'],"['Mimeau, Louise', 'Künne, Annika', 'Devers, Alexandre', 'Branger, Flora', 'Kralisch, Sven', 'Vidal, Jean-Philippe']",,https://doi.org/10.57745/XGDGRR
Flow intermittence indicators from the reconstruction simulations (1960-2021) in the Velicka DRN (Czechia),doi:10.57745/4ETHSY,DRYvER-WP1 Hydrological modelling catchment scale Europe,inrae://10.57745/4ETHSY,2025-02-14T17:17:41Z,2025-04-01T17:30:27Z,['hydrological intermittence'],['Earth and Environmental Sciences'],"['Mimeau, Louise', 'Künne, Annika', 'Devers, Alexandre', 'Branger, Flora', 'Kralisch, Sven', 'Vidal, Jean-Philippe']",,https://doi.org/10.57745/4ETHSY
Metabarcoding datasets and bioinformatic scripts for the LEARN_BIOCONTROL project,doi:10.15454/GCYURM,Omics,inrae://10.15454/GCYURM,2022-01-12T14:24:41Z,2022-02-08T11:49:05Z,"['mycobiome', 'metabarcoding', 'vigne', 'phyllosphere', 'ecologie microbienne']",['Earth and Environmental Sciences'],"['Vacher, Corinne']",,https://doi.org/10.15454/GCYURM
Data set for the article : The microbiota and the host organism switch between cooperation and competition based on dietary iron levels.,doi:10.57745/8ABKFG,Data INRAE,inrae://10.57745/8ABKFG,2024-02-13T10:19:49Z,2024-10-18T08:06:30Z,"['gut microbiota', 'iron homeostasis']","['Medicine, Health and Life Sciences']","['Thomas, Muriel', 'Noordine, Marie-Louise', 'Seyoum, Yohannes', 'Bruneau, Aurélia', 'Baye, Kaleab', 'Lefebvre, Thibaud', 'Cherbuy, Claire', 'Canonne-Hergaux, François', 'Nicolas, Gael', 'Humblot, Christèle']",,https://doi.org/10.57745/8ABKFG
GeCKO - Durum Wheat domestication use case,doi:10.57745/78MBZY,Data INRAE,inrae://10.57745/78MBZY,2023-03-07T14:05:22Z,2024-04-30T13:57:39Z,"['wheat', 'single-nucleotide polymorphism', 'bioinformatics']",['Agricultural Sciences'],"['Ardisson, Morgane']",,https://doi.org/10.57745/78MBZY
DataVenus,doi:10.57745/K4XF9I,MEAL Fish,inrae://10.57745/K4XF9I,2024-09-17T10:06:31Z,2024-09-18T07:13:42Z,,"['Medicine, Health and Life Sciences', 'Agricultural Sciences']","['VELEZ, Emilio J', 'SEILIEZ, Iban']",,https://doi.org/10.57745/K4XF9I
Camera Underwater images in front of underwater nettings at Lake Guerlédan,doi:10.57745/5VJQHM,DAT'AMU _ Entrepôt de données de recherche d'Aix Marseille Université. DAT'AMU _ Aix Marseille University research data warehouse.,univ-amu://10.57745/5VJQHM,2025-03-14T12:33:52Z,2025-04-23T14:49:43Z,"['sous marin', 'Guerlédan']","['Engineering', 'Computer and Information Science']","['DAINI, Xavier']",['Article en cours de soumission'],https://doi.org/10.57745/5VJQHM
Etude 4pour1000 : Données modèle PaSim,doi:10.15454/XCQXOB,Etude 4pour1000 Stocker du carbone dans les sols français : quel potentiel au regard de l’objectif 4 pour 1000 et à quel coût ? Dataverse,inrae://10.15454/XCQXOB,2021-02-07T17:21:44Z,2021-03-09T13:31:36Z,"['grassland', 'stocking practice', 'simulation', 'PaSim']","['Earth and Environmental Sciences', 'Agricultural Sciences']","['Martin, Raphael']",,https://doi.org/10.15454/XCQXOB
"Data on structure and farming practices of French organic vegetable farms, with focus on the use of inputs and the socio-economic context",doi:10.15454/YAXXYH,Data INRAE,inrae://10.15454/YAXXYH,2021-02-19T08:59:15Z,2021-03-15T08:49:42Z,,['Agricultural Sciences'],"['Pepin, Antonin']",,https://doi.org/10.15454/YAXXYH
Data for Grapevines Under Drought Do Not Express Esca Leaf Symptoms,doi:10.15454/SHLIHA,Data INRAE,inrae://10.15454/SHLIHA,2021-03-08T15:22:53Z,2021-10-05T16:11:35Z,,"['Medicine, Health and Life Sciences']","['Bortolami, Giovanni', 'Gregory A. Gambetta', 'Cédric Cassan', 'Silvina Dayer', 'Elena Farolfi', 'Nathalie Ferrer', 'Yves Gibon', 'Jérôme Jolivet', 'Pascal Lecomte', 'Chloé E.L. Delmas']",,https://doi.org/10.15454/SHLIHA
Maturity analysis of the Rhone Valley vineyards since 1969,doi:10.15454/H8VJCM,TEMPO,inrae://10.15454/H8VJCM,2021-04-20T13:15:46Z,2023-12-07T15:23:32Z,"['grapevine', 'maturity', 'climate change', 'berry']","['Earth and Environmental Sciences', 'Agricultural Sciences']","['Lacroix, Romain', 'Bécart, Viviane', 'Puech, Carole']",,https://doi.org/10.15454/H8VJCM
Raw data and associated scripts of a study dedicated to the effect of tree diversity and water availability on nutrient use efficiency in forests,doi:10.15454/FWC5LP,Data INRAE,inrae://10.15454/FWC5LP,2021-06-03T15:02:12Z,2022-12-15T10:30:19Z,,"['Earth and Environmental Sciences', 'Agricultural Sciences']","['Maxwell, Tania L.', 'Fanin', 'Parker', 'Bakker', 'Belleau', 'Meredieu', 'Augusto', 'Munson']",,https://doi.org/10.15454/FWC5LP
Updated Metagenomic Species Pan-genomes (MSPs) of the human gastrointestinal microbiota,doi:10.15454/FLANUP,Data INRAE,inrae://10.15454/FLANUP,2021-04-06T09:11:15Z,2024-06-13T09:39:02Z,,"['Medicine, Health and Life Sciences']","['Plaza Onate, Florian', 'Pons, Nicolas', 'Gauthier, Franck', 'Almeida, Mathieu', 'Ehrlich, Stanislav Dusko', 'Le Chatelier, Emmanuelle']",,https://doi.org/10.15454/FLANUP
