Nom_archive,Date de publication,Titre_unique,Sans_référencement
HAL,2025,Retrieval of 1 km surface soil moisture from Sentinel-1 over bare soil and grassland on the Qinghai-Tibetan Plateau,True
HAL,2025,Variations hydrologiques à long terme du bassin de l'Ogooué,True
HAL,2025,Investigating links between rainfall variations in the Ogooué River basin and ENSO in the Pacific Ocean over the period 1940-1999,True
HAL,2025,Algal Pigment Estimation Models to Assess Bloom Toxicity in a South American Lake,True
HAL,2024,From theory to hydrological practice: Leveraging CYGNSS data over seven years for advanced soil moisture monitoring,True
HAL,2024,Deriving surface soil moisture from reflected GNSS signal observations from a grassland site in southwestern France,True
HAL,2024,Monitoring Groundwater Storage Changes Using the Gravity Recovery and Climate Experiment (GRACE) Satellite Mission: A Review,True
HAL,2024,The Potential of Hydrogeodesy to Address Water-Related and Sustainability Challenges,True
HAL,2024,Seasonal-scale intercomparison of SMAP and fused SMOS-SMAP soil moisture products,True
HAL,2024,Enhancing the temporal resolution of water levels from altimetry using D-InSAR: A case study of 10 Swedish Lakes,True
HAL,2024,Evaluating SWOT's interferometric capabilities for mapping intertidal topography,True
HAL,2024,"A new global C-band vegetation optical depth product from ASCAT: Description, evaluation, and inter-comparison",True
HAL,2024,On The Need of a New High-Resolution L-Band Mission to Study Land/Water/Ice Interfaces,True
HAL,2024,Negative Asymmetric Response of Pantropical Gross Primary Productivity to Precipitation Anomalies,True
HAL,2024,Groundwater Storage Changes in the Major North African Transboundary Aquifer Systems during the GRACE Era (2003-2016),True
HAL,2024,"Leveraging Machine Learning and Remote Sensing for Water Quality Analysis in Lake Ranco, Southern Chile",True
HAL,2024,Surface Water Storage in Rivers and Wetlands Derived from Satellite Observations: A Review of Current Advances and Future Opportunities for Hydrological Sciences,True
HAL,2024,The Role of the Rainfall Variability in the Decline of the Surface Suspended Sediment in the Upper Madeira Basin (2003-2017),True
HAL,2024,Improving the Estimation of Water Level over Freshwater Ice Cover using Altimetry Satellite Active and Passive Observations,True
HAL,2024,Sensitivity of the Near-Shore Oceanic Circulation Off Central Chile to Coastal Wind Profiles Characteristics,True
HAL,2024,Temporal Evolution of Corn Mass Production Based on Agro-Meteorological Modelling Controlled by Satellite Optical and SAR Images,True
HAL,2024,Analysis of Sentinel-3 SAR altimetry waveform retracking algorithms for deriving temporally consistent water levels over ice-covered lakes,True
HAL,2024,Improving Satellite Waveform Altimetry Measurements With a Probabilistic Relaxation Algorithm,True
HAL,2024,"A novel AMSR2 retrieval algorithm for global C-band vegetation optical depth and soil moisture (AMSR2 IB): Parameters' calibration, evaluation and inter-comparison",True
HAL,2024,Corrigendum to “ReCuSum: A polyvalent method to monitor tropical forest disturbances” [ISPRS J. Photogramm. Rem. Sens. 203 (2023) 358–372],True
HAL,2024,Sharp decline in surface water resources for agriculture and fisheries in the Lower Mekong Basin over 2000-2020,True
HAL,2024,Satellite-based monitoring of China's above-ground biomass carbon sink from 2015 to 2021,True
HAL,2024,Siberian carbon sink reduced by forest disturbances,True
HAL,2024,Optimal model-based temperature inputs for global soil moisture and vegetation optical depth retrievals from SMAP,True
HAL,2024,Assessment of Bottom-Up Satellite Precipitation Products on River Streamflow Estimations in the Peruvian Pacific Drainage,True
HAL,2024,Global Scale IB AMSR2 Vegetation Optical Depth at X-Band,True
HAL,2024,Global carbon balance of the forest: satellite-based L-VOD results over the last decade,True
HAL,2024,Assessing the time variability of GIEMS-2 satellite-derived surface water extent over 30 years,True
HAL,2024,Quantitative assessment of various proxies for downscaling coarse-resolution VOD products over the contiguous United States,True
HAL,2024,Satellite-Observed Increase in Aboveground Carbon over Southwest China during 2013-2021,True
HAL,2024,Global Soil Salinity Estimation at 10 m Using Multi-Source Remote Sensing,True
HAL,2024,Improving mean water lake surface elevation estimates using dense lidar measurements from the GEDI satellite mission,True
HAL,2024,Assessment of 9 km SMAP soil moisture: Evidence of narrowing the gap between satellite retrievals and model-based reanalysis,True
HAL,2024,Estimation of Water Quality Parameters through a Combination of Deep Learning and Remote Sensing Techniques in a Lake in Southern Chile,True
HAL,2024,How are the wetlands over tropical basins impacted by the extreme hydrological events?,True
HAL,2024,What do we learn about the impact of extreme hydrological events on tropical wetlands from the synergistic use of altimetry from Sentinel-3/SARAL-Altika and L-Band radiometry from SMOS/SMAP ?,True
HAL,2024,Distinctive patterns of water level change in Swedish lakes driven by climate and human regulation,True
HAL,2024,"Chlorophyll-a Detection Algorithms at Different Depths Using In Situ, Meteorological, and Remote Sensing Data in a Chilean Lake",True
HAL,2024,Forest degradation contributes more to carbon loss than forest cover loss in North American boreal forests,True
HAL,2024,SNR-Based Water Height Retrieval in Rivers: Application to High Amplitude Asymmetric Tides in the Garonne River,True
HAL,2024,Spatiotemporal Variations in Biophysical Water Quality Parameters: An Integrated In Situ and Remote Sensing Analysis of an Urban Lake in Chile,True
HAL,2024,Quantification of surface water extent and volume in the Inner Niger Delta (IND) over 2000–2022 using multispectral imagery and radar altimetry,True
HAL,2024,Synergies between SWOT and L-Band sensors over wetlands,True
HAL,2024,Hydrological Response Assessment of Land Cover Change in a Peruvian Amazonian Basin Impacted by Deforestation Using the SWAT Model,True
HAL,2024,Sentinel-1 Based Cusum Capabilities As A Forest / Non-Forest Mask In Tropical Areas,True
HAL,2024,Global Surface Water Product Reliability for Amazon Floodplain Hydrology,True
HAL,2024,The spatio-temporal variability of groundwater storage in the Amazon River Basin,True
HAL,2024,FLOOD EXTENT AND VOLUME CHANGES ANALYSIS IN CURUAI FLOODPLAIN USING REMOTE SENSING,True
HAL,2024,INUNDATION PROJECTED UNDER CLIMATE CHANGE WITHIN THE CURUAI FLOODPLAIN,True
HAL,2024,Amazonian floodplains modeling sensitivity to grid size and diffuse runoff,True
HAL,2024,EVOLUTION OF THE LAKES NETWORK OF CURUAI FLOODPLAIN BY CLASSIFICATION OF RADAR ALTIMETRY ECHOES,True
HAL,2024,Unraveling the impacts of droughts and agricultural intensification on the Altiplano water resources,True
HAL,2023,Armazenamento total de água e armazenamento de águas subterrâneas,True
HAL,2023,Nível da água,True
HAL,2023,Satellite observed aboveground carbon dynamics in Africa during 2003–2021,True
HAL,2023,ReCuSum: A polyvalent method to monitor tropical forest disturbances,True
HAL,2023,Anthropogenic disturbance exacerbates resilience loss in the Amazon rainforests,True
HAL,2023,High Frequency Field Measurements of an Undular Bore Using a 2D LiDAR Scanner,True
HAL,2023,Expertise collective CRREF « Coupes Rases et Renouvellement des peuplements Forestiers en contexte de changement climatique » : Rapport scientifique de l’expertise,True
HAL,2023,Expertise collective CRREF « Coupes Rases et REnouvellement des peuplements Forestiers en contexte de changement climatique »,True
HAL,2023,Global increase in biomass carbon stock dominated by growth of northern young forests over past decade,True
HAL,2023,GNSS-R monitoring of soil moisture dynamics in areas of severe drought: example of Dahra in the Sahelian climatic zone (Senegal),True
HAL,2023,A copula-supported Bayesian framework for spatial downscaling of GRACE-derived terrestrial water storage flux,True
HAL,2023,Inland surface waters quantity monitored from remote sensing,True
HAL,2023,AlTiS Software for generating Time-Series of Water Levels from Radar Altimetry Data,True
HAL,2023,ASCAT IB: A radar-based vegetation optical depth retrieved from the ASCAT scatterometer satellite,True
HAL,2023,Monitoring intertidal topography using the future SWOT (Surface Water and Ocean Topography) mission,True
HAL,2023,Panta Rhei benchmark dataset: socio-hydrological data of paired events of floods and droughts,True
HAL,2023,An alternative AMSR2 vegetation optical depth for monitoring vegetation at large scales,True
HAL,2023,Hydro-climatology study of the Ogooué River basin using hydrological modeling and satellite altimetry,True
HAL,2023,A multi-scale analysis of in-situ precipitation data across the Sahelian Gourma,True
HAL,2023,"Evaluation of satellite and reanalysis estimates of surface and root-zone soil moisture in croplands of Jiangsu Province, China",True
HAL,2023,Oil slicks in the Gulf of Guinea -10 years of Envisat Advanced Synthetic Aperture Radar observations,True
HAL,2023,Monitoring Variation of Reservoir Water Volume Using SAR Sentinel-1 Observations and Jason-3 Radar Altimetry Data,True
HAL,2023,Volume changes of Lake Bracciano during the sentinels acquisition period,True
HAL,2023,Classification and Deforestation Monitoring Using Sentinel-1 C-SAR Images in a Temperate Exploited Pine Forest,True
HAL,2023,Monitoring the Temporal Evolution of the Floods in the Lower Mekong Basin using Multisatellite Observations,True
HAL,2023,Editorial: Groundwater systems worldwide,True
HAL,2023,Estimating Aboveground Carbon Dynamic of China Using Optical and Microwave Remote-Sensing Datasets from 2013 to 2019,True
HAL,2023,Asymmetric response of primary productivity to precipitation anomalies in Southwest China,True
HAL,2023,Arctic Sea Ice Thickness Estimation From Passive Microwave Satellite Observations Between 1.4 and 36 GHz,True
HAL,2023,The Role of Space-Based Observations for Groundwater Resource Monitoring over Africa,True
HAL,2023,Global-scale assessment and inter-comparison of recently developed/reprocessed microwave satellite vegetation optical depth products,True
HAL,2024,Hydroclimatic change disparity of Peruvian Pacific drainage catchments,True
